id,name,current_price,market_cap,price_change_24h,price_change_percentage_24h,ath,atl,time_stamp
bitcoin,Bitcoin,118373.0,2355617029686,552.08,0.46858,122838.0,67.81,31-07-25
ethereum,Ethereum,3836.77,463300859420,78.2,2.08055,4878.26,0.432979,31-07-25
ripple,XRP,3.16,187080365913,0.093844,3.06303,3.65,0.00268621,31-07-25
tether,Tether,0.999782,163716073126,-0.000136046495719522,-0.01361,1.32,0.572521,31-07-25
binancecoin,BNB,801.23,111621086425,10.43,1.31867,858.34,0.0398177,31-07-25
solana,Solana,180.99,97407290855,3.84,2.16742,293.31,0.500801,31-07-25
usd-coin,USDC,0.999807,63910479536,1.22e-06,0.00012,1.17,0.877647,31-07-25
staked-ether,Lido Staked Ether,3834.51,34424599103,82.16,2.18968,4829.57,482.9,31-07-25
dogecoin,Dogecoin,0.22246,33425126011,0.00548182,2.52644,0.731578,8.69e-05,31-07-25
tron,TRON,0.328482,31111073461,-0.002061893810685278,-0.62379,0.431288,0.00180434,31-07-25
cardano,Cardano,0.778651,28175970410,0.02018402,2.66116,3.09,0.01925275,31-07-25
wrapped-steth,Wrapped stETH,4636.89,15153695779,90.68,1.99453,7256.02,558.54,31-07-25
wrapped-bitcoin,Wrapped Bitcoin,118405.0,15023097201,438.13,0.3714,122745.0,3139.17,31-07-25
hyperliquid,Hyperliquid,43.62,14556528629,0.987548,2.31624,49.75,3.81,31-07-25
sui,Sui,3.89,13446646862,0.185271,4.99982,5.35,0.364846,31-07-25
stellar,Stellar,0.42269,13200342108,0.01408043,3.44594,0.875563,0.00047612,31-07-25
wrapped-beacon-eth,Wrapped Beacon ETH,4124.88,12227811481,83.8,2.07382,4317.06,1501.6,31-07-25
chainlink,Chainlink,18.0,12209707074,0.680122,3.92678,52.7,0.148183,31-07-25
hedera-hashgraph,Hedera,0.274474,11635333446,0.01778786,6.92982,0.569229,0.00986111,31-07-25
bitcoin-cash,Bitcoin Cash,582.22,11584982448,19.39,3.44581,3785.82,76.93,31-07-25
wrapped-eeth,Wrapped eETH,4112.9,10929574113,86.26,2.14231,4311.81,1505.24,31-07-25
avalanche-2,Avalanche,23.75,10045895314,0.256676,1.09248,144.96,2.8,31-07-25
weth,WETH,3838.9,8619209313,81.38,2.16584,4799.89,82.1,31-07-25
ethena-usde,Ethena USDe,1.001,8438436132,-0.000204755993145289,-0.02046,1.032,0.929486,31-07-25
the-open-network,Toncoin,3.49,8435358937,0.11939,3.54074,8.25,0.519364,31-07-25
litecoin,Litecoin,109.91,8369029413,2.58,2.40443,410.26,1.15,31-07-25
leo-token,LEO Token,8.93,8242081931,-0.039601512960699026,-0.44154,10.14,0.799859,31-07-25
usds,USDS,0.999684,7707731242,3.282e-05,0.00328,1.057,0.948265,31-07-25
shiba-inu,Shiba Inu,1.304e-05,7689559758,3.15868e-07,2.4825,8.616e-05,5.6366e-11,31-07-25
binance-bridged-usdt-bnb-smart-chain,Binance Bridged USDT (BNB Smart Chain),0.999404,6780242110,-0.000477104925968641,-0.04772,1.05,0.942186,31-07-25
coinbase-wrapped-btc,Coinbase Wrapped BTC,118472.0,6463849277,556.43,0.47189,123036.0,57439.0,31-07-25
whitebit,WhiteBIT Coin,44.23,6376199989,0.299196,0.68099,52.27,3.06,31-07-25
uniswap,Uniswap,9.99,6006724336,0.104084,1.0528,44.92,1.03,31-07-25
polkadot,Polkadot,3.9,5937618240,0.129327,3.43222,54.98,2.7,31-07-25
monero,Monero,308.54,5691620083,-2.2656846896577463,-0.72896,542.33,0.216177,31-07-25
bitget-token,Bitget Token,4.51,5139097923,0.01921077,0.42806,8.45,0.0142795,31-07-25
ethena-staked-usde,Ethena Staked USDe,1.18,5009756114,-0.001919670309235455,-0.16178,1.29,1.012,31-07-25
pepe,Pepe,1.154e-05,4855834557,3.34744e-07,2.98856,2.803e-05,5.5142e-08,31-07-25
crypto-com-chain,Cronos,0.147101,4759151090,0.00474374,3.33228,0.965407,0.0121196,31-07-25
ethena,Ethena,0.671795,4267848096,0.111973,20.0015,1.52,0.195078,31-07-25
aave,Aave,275.56,4195512949,1.74,0.63504,661.69,26.02,31-07-25
dai,Dai,0.999873,3762490989,-0.000121629584086125,-0.01216,1.22,0.88196,31-07-25
bittensor,Bittensor,377.83,3616459114,9.91,2.69228,757.6,30.83,31-07-25
near,NEAR Protocol,2.7,3358076410,0.087146,3.3318,20.44,0.526762,31-07-25
ethereum-classic,Ethereum Classic,21.69,3317260526,0.603817,2.86405,167.09,0.615038,31-07-25
pi-network,Pi Network,0.416836,3233831804,0.00446036,1.08163,2.99,0.406597,31-07-25
ondo-finance,Ondo,0.98186,3102447245,0.04972991,5.33508,2.14,0.082171,31-07-25
aptos,Aptos,4.58,3072942367,0.139626,3.14593,19.92,3.08,31-07-25
internet-computer,Internet Computer,5.52,2963457877,0.246413,4.67259,700.65,2.87,31-07-25
jito-staked-sol,Jito Staked SOL,220.7,2876451916,4.71,2.18049,339.52,0.57898,31-07-25
okb,OKB,47.69,2861215567,-0.3045251739428352,-0.63452,73.8,0.580608,31-07-25
mantle,Mantle,0.761736,2563987695,0.00621014,0.82196,1.54,0.307978,31-07-25
kaspa,Kaspa,0.095812,2524799013,0.00462037,5.06665,0.207411,0.00017105,31-07-25
pudgy-penguins,Pudgy Penguins,0.03838744,2415415196,0.00182985,5.0054,0.068447,0.00371517,31-07-25
blackrock-usd-institutional-digital-liquidity-fund,BlackRock USD Institutional Digital Liquidity Fund,1.0,2414861034,0.0,0.0,1.0,1.0,31-07-25
binance-peg-weth,Binance-Peg WETH,3832.53,2321069582,78.41,2.08857,4098.26,1394.32,31-07-25
algorand,Algorand,0.265681,2309459268,0.01398946,5.55817,3.56,0.087513,31-07-25
bonk,Bonk,2.921e-05,2270022009,1.97e-06,7.24043,5.825e-05,8.6142e-08,31-07-25
arbitrum,Arbitrum,0.424907,2189120334,0.01865852,4.59288,2.39,0.245747,31-07-25
usd1-wlfi,USD1,0.998936,2173870901,-0.00018161155562213,-0.01818,1.025,0.989703,31-07-25
vechain,VeChain,0.02447062,2104601377,0.00030962,1.28149,0.280991,0.00191713,31-07-25
gatechain-token,Gate,17.38,2075350638,0.134803,0.78191,25.94,0.25754,31-07-25
render-token,Render,4.0,2070670090,0.226536,6.00881,13.53,0.03665669,31-07-25
cosmos,Cosmos Hub,4.48,2064875975,0.059503,1.34734,44.45,1.16,31-07-25
polygon-ecosystem-token,POL (ex-MATIC),0.220976,1996475316,0.00570731,2.65125,1.29,0.153392,31-07-25
fasttoken,Fasttoken,4.6,1983483159,0.01697916,0.37078,4.61,0.398142,31-07-25
worldcoin-wld,Worldcoin,1.086,1975708930,0.054967,5.32925,11.74,0.583741,31-07-25
binance-staked-sol,Binance Staked SOL,192.8,1892430109,3.91,2.06808,297.96,100.21,31-07-25
official-trump,Official Trump,9.37,1876308013,0.150405,1.63151,73.43,4.29,31-07-25
story-2,Story,6.24,1840972103,0.589223,10.42768,7.31,1.0,31-07-25
sei-network,Sei,0.316952,1831903308,0.0160668,5.33983,1.14,0.095364,31-07-25
fetch-ai,Artificial Superintelligence Alliance,0.698356,1819882865,0.02683398,3.99599,3.45,0.00816959,31-07-25
susds,sUSDS,1.061,1815029428,1.245e-05,0.00117,1.088,0.961716,31-07-25
rocket-pool-eth,Rocket Pool ETH,4364.59,1806604418,91.41,2.13922,4814.31,887.26,31-07-25
spx6900,SPX6900,1.93,1800069093,0.00878235,0.45701,2.27,0.00131808,31-07-25
sky,Sky,0.084597,1798092286,6.936e-05,0.08205,0.100535,0.03582727,31-07-25
quant-network,Quant,122.11,1776383400,5.1,4.35913,427.42,0.215773,31-07-25
filecoin,Filecoin,2.52,1725189751,0.04794286,1.93706,236.84,1.98,31-07-25
kelp-dao-restaked-eth,Kelp DAO Restaked ETH,4026.66,1703132318,87.96,2.23332,4216.2,1459.69,31-07-25
flare-networks,Flare,0.02437078,1696327572,0.00021095,0.87314,0.150073,0.00827405,31-07-25
lombard-staked-btc,Lombard Staked BTC,118244.0,1648502179,540.67,0.45935,123777.0,52119.0,31-07-25
jupiter-perpetuals-liquidity-provider-token,Jupiter Perpetuals Liquidity Provider Token,5.06,1646030358,0.04057912,0.80891,5.26,0.146839,31-07-25
jupiter-exchange-solana,Jupiter,0.529372,1619401923,0.01495591,2.90736,2.0,0.306358,31-07-25
xdce-crowd-sale,XDC Network,0.098736,1602603130,0.00148154,1.52337,0.192754,0.00039532,31-07-25
kucoin-shares,KuCoin,11.42,1454403277,0.103121,0.91146,28.83,0.342863,31-07-25
stakewise-v3-oseth,StakeWise Staked ETH,4039.9,1449737656,26.06,0.64926,4228.59,1459.73,31-07-25
usdtb,USDtb,0.999625,1443786177,-0.000534475264403755,-0.05344,1.018,0.900502,31-07-25
curve-dao-token,Curve DAO,1.03,1421205897,0.076513,8.02331,15.37,0.180354,31-07-25
injective-protocol,Injective,14.41,1407887045,0.839548,6.1888,52.62,0.657401,31-07-25
liquid-staked-ethereum,Liquid Staked ETH,4145.61,1399722315,90.19,2.22405,4332.67,1384.61,31-07-25
mantle-staked-ether,Mantle Staked Ether,4101.36,1386804992,76.62,1.90376,4729.53,1485.62,31-07-25
blockstack,Stacks,0.76468,1367888777,0.01973341,2.64897,3.86,0.04559639,31-07-25
usdt0,USDT0,0.999928,1363264328,0.00049566,0.04959,1.052,0.975737,31-07-25
celestia,Celestia,1.84,1344537739,0.103867,5.97907,20.85,1.32,31-07-25
nexo,NEXO,1.32,1317946600,0.01327398,1.01742,4.07,0.04515276,31-07-25
first-digital-usd,First Digital USD,0.998195,1302925153,0.00096652,0.09692,1.15,0.940377,31-07-25
renzo-restaked-eth,Renzo Restaked ETH,4039.77,1271213876,85.59,2.16456,4207.05,1454.43,31-07-25
optimism,Optimism,0.717752,1258138921,0.03141332,4.57694,4.84,0.402159,31-07-25
polygon-bridged-usdt-polygon,Polygon Bridged USDT (Polygon),0.999777,1226904780,-0.000126227255128453,-0.01262,1.027,0.945933,31-07-25
falcon-finance,Falcon USD,0.999447,1184211398,-0.000698842596581373,-0.06987,1.075,0.943422,31-07-25
solv-btc,Solv Protocol BTC,117740.0,1174371017,279.65,0.23808,122909.0,49058.0,31-07-25
floki,FLOKI,0.00011751,1137932594,8.3e-06,7.60256,0.00034495,8.428e-08,31-07-25
sonic-3,Sonic,0.349383,1128080458,0.058714,20.19943,1.029,0.250194,31-07-25
pump-fun,Pump.fun,0.00315095,1114620872,0.00068285,27.66675,0.00681162,0.00228323,31-07-25
conflux-token,Conflux,0.214976,1100968072,0.02061649,10.6074,1.7,0.02199898,31-07-25
jupiter-staked-sol,Jupiter Staked SOL,203.89,1083438594,4.58,2.29595,309.67,105.7,31-07-25
wbnb,Wrapped BNB,800.79,1066315776,9.66,1.2215,858.29,23.6,31-07-25
immutable-x,Immutable,0.562045,1062772449,0.02746471,5.13762,9.52,0.343711,31-07-25
fartcoin,Fartcoin,1.058,1059983335,0.0089936,0.85699,2.48,0.02002855,31-07-25
the-graph,The Graph,0.101265,1055933752,0.00336698,3.43926,2.84,0.052051,31-07-25
binance-bridged-usdc-bnb-smart-chain,Binance Bridged USDC (BNB Smart Chain),0.998882,997697610,-0.001103002079842152,-0.1103,1.031,0.942892,31-07-25
dogwifcoin,dogwifhat,0.993218,992349586,0.04480534,4.72425,4.83,0.00155464,31-07-25
pancakeswap-token,PancakeSwap,2.86,987957380,0.095096,3.43409,43.96,0.194441,31-07-25
saros-finance,Saros,0.364126,956081792,0.01199605,3.40671,0.405788,0.00101093,31-07-25
paypal-usd,PayPal USD,0.999813,955147661,-9.4551890792216e-05,-0.00946,1.021,0.959426,31-07-25
arbitrum-bridged-wbtc-arbitrum-one,Arbitrum Bridged WBTC (Arbitrum One),118318.0,943530232,798.01,0.67905,122778.0,49594.0,31-07-25
pax-gold,PAX Gold,3313.01,936146098,-18.630041076639372,-0.55918,3518.57,1399.64,31-07-25
ethereum-name-service,Ethereum Name Service,28.06,935140070,0.353835,1.27712,83.4,6.69,31-07-25
msol,Marinade Staked SOL,237.35,933891057,4.68,2.01171,363.77,8.93,31-07-25
kaia,Kaia,0.159208,932723069,0.00347932,2.23422,0.406698,0.090737,31-07-25
clbtc,clBTC,120697.0,932168293,,,129190.0,51493.0,31-07-25
lido-dao,Lido DAO,1.029,923781065,0.02462154,2.45181,7.3,0.40615,31-07-25
virtual-protocol,Virtuals Protocol,1.37,898199816,0.0391226,2.93852,5.07,0.00748604,31-07-25
syrupusdc,SyrupUSDC,1.11,880634029,-1.4725262827753e-05,-0.00132,1.12,1.07,31-07-25
tezos,Tezos,0.827472,871275872,0.00737521,0.89931,9.12,0.350476,31-07-25
vaulta,Vaulta,0.538637,851780123,0.01194794,2.2685,0.778734,0.455113,31-07-25
theta-token,Theta Network,0.85009,850090521,0.03166914,3.86954,15.72,0.04039979,31-07-25
super-oeth,Super OETH,3835.04,821215889,73.04,1.94147,4099.87,1312.97,31-07-25
tether-gold,Tether Gold,3307.85,815464618,-21.26366535897978,-0.63872,3530.16,1447.84,31-07-25
raydium,Raydium,3.02,809574336,0.112847,3.87879,16.83,0.134391,31-07-25
mantle-restaked-eth,Mantle Restaked ETH,4103.85,807431575,90.21,2.24754,4298.87,1480.7,31-07-25
cgeth-hashkey-cloud,cgETH Hashkey Cloud,4027.39,805189692,42.75,1.07281,4102.39,1430.7,31-07-25
iota,IOTA,0.203088,798020670,0.00759599,3.88557,5.25,0.081637,31-07-25
jasmycoin,JasmyCoin,0.01605376,778715938,0.00076916,5.03229,4.79,0.00275026,31-07-25
gala,GALA,0.01650412,751172025,0.00049261,3.0766,0.824837,0.00013475,31-07-25
pendle,Pendle,4.5,746553023,0.186701,4.32812,7.5,0.03377729,31-07-25
aerodrome-finance,Aerodrome Finance,0.838364,728286017,0.03876323,4.84782,2.32,1.861e-05,31-07-25
the-sandbox,The Sandbox,0.293545,718569049,0.00915934,3.22075,8.4,0.02897764,31-07-25
pyth-network,Pyth Network,0.124021,713444870,0.00426022,3.55727,1.2,0.081442,31-07-25
ousg,OUSG,111.99,700865619,0.012366,0.01104,111.99,95.09,31-07-25
bittorrent,BitTorrent,7.01392e-07,692847621,-1.1946171969e-08,-1.67468,3.43e-06,3.65368e-07,31-07-25
ondo-us-dollar-yield,Ondo US Dollar Yield,1.096,688041035,0.00413601,0.3788,1.26,0.934184,31-07-25
usdx-money-usdx,Stables Labs USDX,0.998123,675452024,0.00041436,0.04153,1.057,0.944423,31-07-25
tbtc,tBTC,118222.0,675066520,641.42,0.54551,122930.0,10104.3,31-07-25
jito-governance-token,Jito,1.85,665062264,0.02716791,1.49141,6.01,1.43,31-07-25
ether-fi-staked-eth,ether.fi Staked ETH,3828.39,662481656,75.04,1.99917,5307.23,1394.71,31-07-25
l2-standard-bridged-weth-base,L2 Standard Bridged WETH (Base),3837.47,644397341,83.72,2.2303,4096.05,1394.17,31-07-25
zcash,Zcash,39.35,637650668,0.587557,1.51582,3191.93,16.08,31-07-25
flow,Flow,0.390529,625857589,0.00928081,2.43432,42.4,0.292024,31-07-25
stader-ethx,Stader ETHx,4085.08,597425407,87.08,2.17798,4275.3,1474.49,31-07-25
morpho,Morpho,1.85,596803978,0.086342,4.90546,4.17,0.713151,31-07-25
newton-project,AB,0.00847157,595588475,-7.5263020065391e-05,-0.8806,0.01727373,3.8e-06,31-07-25
helium,Helium,3.2,594982542,0.100988,3.2575,54.88,0.113248,31-07-25
walrus-2,Walrus,0.425773,588715155,0.01318669,3.1961,0.759179,0.360051,31-07-25
based-brett,Brett,0.059114,586613623,0.00981042,19.89792,0.234204,0.00084753,31-07-25
usual-usd,Usual USD,0.997771,583343116,1.42e-06,0.00014,1.33,0.962885,31-07-25
ripple-usd,Ripple USD,0.999796,577521263,0.00084294,0.08438,1.073,0.962292,31-07-25
decentraland,Decentraland,0.300462,576887693,0.01088629,3.75939,5.85,0.00923681,31-07-25
bitcoin-avalanche-bridged-btc-b,Avalanche Bridged BTC (Avalanche),118363.0,576568328,546.47,0.46384,123072.0,7806.11,31-07-25
solv-protocol-solvbtc-bbn,Solv Protocol Staked BTC,117136.0,575296588,459.3,0.39365,121137.0,11402.13,31-07-25
usdd,USDD,0.999185,574135550,-0.000447120253544209,-0.04473,1.052,0.928067,31-07-25
mog-coin,Mog Coin,1.46e-06,570793358,9.1076e-08,6.66146,4.02e-06,4.526e-09,31-07-25
binance-peg-dogecoin,Binance-Peg Dogecoin,0.222308,569986371,0.00584547,2.70045,0.480585,0.04955727,31-07-25
coinbase-wrapped-staked-eth,Coinbase Wrapped Staked ETH,4229.44,555092245,84.7,2.04363,4434.57,1036.96,31-07-25
bitcoin-cash-sv,Bitcoin SV,27.52,547572289,0.315496,1.15992,489.75,21.43,31-07-25
beldex,Beldex,0.076577,547338854,-0.000384260837556674,-0.49929,0.450785,0.00027519,31-07-25
arbitrum-bridged-weth-arbitrum-one,Arbitrum Bridged WETH (Arbitrum One),3838.18,541147272,80.52,2.14282,4097.16,1395.31,31-07-25
chain-2,Onyxcoin,0.01557807,539154222,-1.8763457239867e-05,-0.1203,0.184139,0.0007055,31-07-25
coredaoorg,Core,0.531005,534906040,0.01179462,2.27165,6.14,0.334237,31-07-25
memecore,MemeCore,0.321849,534647745,-0.002572169821067727,-0.79285,0.897338,0.04746135,31-07-25
syrup,Maple Finance,0.443831,532458789,0.00877558,2.01712,0.653229,0.085229,31-07-25
build-on,BUILDon,0.528193,528264140,0.02508791,4.98662,0.609597,0.175498,31-07-25
sweth,Swell Ethereum,4205.43,510308663,89.03,2.16289,4395.57,1516.13,31-07-25
true-usd,TrueUSD,0.997723,493387511,0.00069914,0.07012,1.62,0.88355,31-07-25
ether-fi,Ether.fi,1.17,492190393,0.03835994,3.38377,8.53,0.40432,31-07-25
